client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,num_properties,total_investment,avg_sale_price,avg_floor_area,max_sale_price,unit_categories,age,is_investor,loan_applied_flag,price_per_sqft
C0001,Individual,Kareem,Liu,1968-05-11,F,Usa,California,Home,4,Yes,Website,4.0,1246764.72,311691.18,983.885,496266.41,Apartment,55.6413415468857,0,1,316.79635323233913
C0002,Individual,Trystan,Oconnor,,M,Usa,California,Home,1,No,Website,5.0,1841095.9300000002,368219.18600000005,1187.942,505127.63,Apartment,53.36755646817248,0,0,309.96394268407045
C0003,Individual,Kale,Gay,1959-04-07,M,Usa,California,Home,4,Yes,Agency,5.0,1661457.5899999999,332291.518,1058.1100000000001,584611.99,Apartment,64.73648186173854,0,1,314.042507867802
C0004,Individual,Russell,Gross,,M,Usa,California,Home,5,No,Website,6.0,1608263.51,268043.91833333333,937.1033333333334,606634.75,Apartment,53.36755646817248,0,0,286.0345372797735
C0005,Company,Marleez,Co,,M,Usa,California,Investment,5,No,Website,13.0,3653385.38,281029.64461538463,927.2961538461539,628812.33,Apartment,53.36755646817248,1,0,303.06352878716865
C0006,Individual,Yurem,Wright,1957-03-06,M,Usa,California,Home,3,Yes,Website,5.0,1514131.06,302826.212,989.5899999999999,435031.4,Apartment,66.8227241615332,0,1,306.01179478369835
C0007,Individual,Xavier,Faulkner,,M,Canada,Quebec,Investment,5,No,Website,11.0,3251147.83,295558.8936363636,995.6936363636363,484458.03,Apartment,53.36755646817248,1,0,296.8371824849374
C0008,Individual,Kayden,Olsen,,F,Usa,California,Home,5,No,Website,5.0,1476730.4100000001,295346.08200000005,1031.106,537291.01,"Apartment,Office",53.36755646817248,0,0,286.43619763632455
C0009,Individual,Joaquin,Mullins,1975-10-05,M,Usa,California,Investment,5,No,Agency,5.0,1820832.35,364166.47000000003,1305.644,580903.05,"Apartment,Office",48.24093086926762,1,0,278.9171244228902
C0010,Individual,Nicolas,Navarro,,M,Usa,Oregon,Investment,3,No,Agency,5.0,1732434.0,346486.8,1140.206,480540.62,"Apartment,Office",53.36755646817248,1,0,303.8808776659656
C0011,Individual,Laci,Guerra,,F,Usa,California,Home,2,Yes,Website,5.0,1325211.52,265042.304,935.914,473195.39,"Apartment,Office",53.36755646817248,0,1,283.1908743752097
C0012,Company,Kylax,Co,,M,Usa,California,Investment,5,No,Website,4.0,1599526.4,399881.6,1317.445,529317.28,Apartment,53.36755646817248,1,0,303.52811692328714
C0013,Individual,Harley,Lucero,1962-08-10,M,Usa,California,Home,1,Yes,Website,5.0,2142750.89,428550.178,1407.376,562818.96,Apartment,61.39356605065024,0,1,304.50297432953244
C0014,Company,Esther,Co,1980-07-10,M,Usa,California,Home,3,Yes,Website,4.0,1548140.0699999998,387035.01749999996,1280.5425,531267.61,Apartment,43.47707049965777,0,1,302.24300833435825
C0015,Individual,Jaylynn,Hickman,,F,Usa,California,Home,5,No,Client,5.0,1585907.37,317181.47400000005,1030.764,426442.43,Apartment,53.36755646817248,0,0,307.7149318369676
C0016,Individual,Olivia,Oconnell,1939-09-03,F,Usa,California,Investment,5,No,Website,4.0,1010217.73,252554.4325,842.145,287917.8,Apartment,84.32854209445586,1,0,299.8942373344258
C0017,Individual,Antonio,Porter,1977-01-08,M,Usa,Arizona,Home,3,No,Client,5.0,1778693.75,355738.75,1195.8139999999999,568732.24,"Apartment,Office",46.978781656399725,0,0,297.4866910740299
C0018,Individual,Luke,Lynn,1967-02-07,M,Usa,California,Home,2,Yes,Agency,4.0,1061478.67,265369.6675,913.8325,461655.95,Apartment,56.89801505817933,0,1,290.3920220609357
C0019,Individual,Anahi,Curry,1957-09-09,M,Usa,California,Home,5,Yes,Client,4.0,1773474.26,443368.565,1402.0425,599245.34,"Apartment,Office",66.3107460643395,0,1,316.23047446849864
C0020,Individual,Camille,Sharp,,F,Usa,California,Home,5,No,Website,4.0,1508032.25,377008.0625,1307.08,505470.6,Apartment,53.36755646817248,0,0,288.43533869388256
C0021,Individual,Jesus,Obrien,1938-06-09,M,Usa,Oregon,Investment,3,No,Website,6.0,1928172.72,321362.12,1028.86,555614.35,Apartment,85.56331279945243,1,0,312.3477635441168
C0022,Individual,Araceli,Nelson,,M,Germany,Berlin,Investment,5,No,Agency,4.0,1372403.2,343100.8,1247.4850000000001,453294.55,Apartment,53.36755646817248,1,0,275.03400842495097
C0023,Individual,Cole,Taylor,1958-12-06,M,Usa,California,Home,3,Yes,Website,5.0,1457871.69,291574.338,948.3880000000001,408265.89,Apartment,65.07049965776865,0,1,307.442036381734
C0024,Individual,Alonso,Terrell,1963-11-05,M,Usa,California,Investment,4,No,Website,6.0,1884156.9000000001,314026.15,1053.735,560195.06,Apartment,60.15605749486653,1,0,298.0124509482935
C0025,Individual,Rodolfo,Gibson,,M,Usa,Nevada,Home,2,Yes,Website,5.0,1694448.83,338889.766,1120.576,518174.75,Apartment,53.36755646817248,0,1,302.4246155548575
C0026,Individual,Joseph,Reeves,,M,Usa,California,Investment,5,No,Website,10.0,2932241.75,293224.175,1002.383,436987.95,"Apartment,Office",53.36755646817248,1,0,292.52708296130317
C0027,Individual,Grant,Weber,1968-09-08,M,Usa,California,Home,5,Yes,Website,5.0,1517969.44,303593.888,1070.234,427086.44,"Apartment,Office",55.31279945242984,0,1,283.670569239998
C0028,Individual,Ava,Phelps,,F,Usa,California,Home,3,No,Client,5.0,1791082.79,358216.558,1266.366,512682.59,"Apartment,Office",53.36755646817248,0,0,282.8696901211814
C0029,Individual,Kyla,Walker,,F,Usa,Colorado,Home,4,Yes,Agency,4.0,1247795.31,311948.8275,993.05,410549.3,"Apartment,Office",53.36755646817248,0,1,314.132045214239
C0030,Individual,Alanna,Hess,,F,Usa,Nevada,Home,3,No,Website,4.0,1547311.29,386827.8225,1279.3725,545645.2,Apartment,53.36755646817248,0,0,302.3574623497066
C0031,Individual,Skylar,Buchanan,,M,Usa,Nevada,Home,4,Yes,Website,5.0,1077148.21,215429.642,677.3399999999999,258061.02,"Apartment,Office",53.36755646817248,0,1,318.0524433814628
C0032,Individual,Rodrigo,Robinson,1966-08-11,M,Usa,California,Home,4,No,Website,5.0,1888995.1600000001,377799.032,1282.528,490429.65,"Apartment,Office",57.39082819986311,0,0,294.57371067142395
C0033,Individual,Lydia,Tate,,F,Usa,California,Home,3,Yes,Website,4.0,1404998.67,351249.6675,1250.4325,376964.62,"Apartment,Office",53.36755646817248,0,1,280.90254172056467
C0034,Individual,Lauryn,Patrick,,F,Belgium,Brussels,Home,2,No,Agency,5.0,1632608.66,326521.73199999996,1160.556,508462.97,Apartment,53.36755646817248,0,0,281.34939804714287
C0035,Individual,Diego,Mendez,1965-05-12,M,Mexico,Mexico City,Home,3,No,Agency,5.0,1987876.4,397575.27999999997,1445.752,539968.61,Apartment,58.639288158795345,0,0,274.9954902362231
C0036,Individual,Victor,Jensen,1973-09-01,M,Usa,California,Home,4,No,Website,4.0,1173683.53,293420.8825,963.325,437900.49,Apartment,50.332648870636554,0,0,304.5917862611268
C0037,Individual,Scarlet,Hendricks,,F,Usa,California,Home,5,Yes,Website,5.0,1607228.75,321445.75,1018.368,482067.87,Apartment,53.36755646817248,0,1,315.6479288430115
C0038,Individual,Janelle,Espinoza,,F,Usa,California,Investment,4,No,Client,4.0,1175129.27,293782.3175,1105.1225,407214.29,"Apartment,Office",53.36755646817248,1,0,265.83688007438093
C0039,Individual,Aleksandra,Karenina,,F,Russia,Krasnodar Krai,Home,1,No,Agency,4.0,1858527.54,464631.885,1365.68,626247.03,"Apartment,Office",53.36755646817248,0,0,340.220172368344
C0040,Individual,Conner,Huff,,M,Usa,Nevada,Home,5,No,Website,6.0,1854608.29,309101.38166666665,1047.8,507842.87,Apartment,53.36755646817248,0,0,295.000364255265
C0041,Individual,Zain,Horne,,M,Usa,Arizona,Home,1,Yes,Website,5.0,1374460.79,274892.158,872.838,405898.92,"Apartment,Office",53.36755646817248,0,1,314.94063961468225
C0042,Individual,Maia,Chandler,1975-08-12,F,Usa,Utah,Home,1,Yes,Website,4.0,1101390.25,275347.5625,913.8425,364280.42,"Apartment,Office",48.388774811772755,0,1,301.3074599835311
C0043,Individual,Jordyn,Park,1965-04-04,M,Usa,Nevada,Investment,3,Yes,Website,4.0,1126492.46,281623.115,983.505,467216.3,Apartment,58.743326488706366,1,1,286.34639884901446
C0044,Individual,Diana,Hunt,,F,Usa,Arizona,Home,3,No,Website,4.0,1330493.26,332623.315,1106.8675,519866.77,Apartment,53.36755646817248,0,0,300.50870135766024
C0045,Individual,Kevin,Mata,1968-10-12,M,Usa,Colorado,Investment,2,No,Agency,5.0,1463432.3599999999,292686.47199999995,913.774,592737.69,Apartment,55.219712525667354,1,0,320.30509951038215
C0046,Individual,Brisa,Mckee,,F,Usa,California,Home,5,No,Client,8.0,2026517.4,253314.675,857.8050000000001,388515.14,Apartment,53.36755646817248,0,0,295.3056638746568
C0047,Individual,Mason,Gilbert,,M,Usa,Colorado,Home,2,No,Agency,5.0,1438239.28,287647.856,953.568,459403.88,Apartment,53.36755646817248,0,0,301.6542669217088
C0048,Individual,Derick,Li,,M,Usa,California,Home,3,Yes,Agency,4.0,1338718.0,334679.5,1026.3200000000002,493044.25,Apartment,53.36755646817248,0,1,326.0966365266193
C0049,Individual,Jace,Riggs,,F,Usa,California,Home,1,No,Website,4.0,1390091.2,347522.8,1204.3675,533120.65,Apartment,53.36755646817248,0,0,288.5521238326341
C0050,Individual,Jair,Johns,1940-03-05,M,Usa,California,Home,5,No,Website,9.0,2744452.35,304939.15,993.5088888888889,486685.38,"Apartment,Office",83.82477754962355,0,0,306.93147631626624
